YYYY-MM,UnitID,Starting Cash,Savings In,Gross Revenue,Mgmt Expense,CapEx Operating,HOA,Insurance,Property Tax,Debt Service (Total),Scheduled Principal,Interest Portion,Ops Net,Rainy Top-Up,Capex Top-Up,Rainy Balance,Capex Balance,Liquidity Required,Liquidity Actual,Liquidity Ratio,Freeze Flag,Accessible Principal,Deployable (Cash+Accessible),Feeder Draw (Net),Feeder Prepay,Purchase: Down Payment,Purchase: Closing Costs,Purchase: Initial Rainy Funding,Purchase Out (Total),New Loan Principal,Loan Balance (End),End Cash,Units Owned
Y7-09,TOTAL,0.0,4166.67,37537.5,7507.5,1876.88,7104.61,1829.22,2351.86,14847.43,3121.83,11725.6,2020.0,6186.67,0.0,147385.64,271.85,157070.58,147657.49,0.940071,1,189725.18,189725.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2050997.55,0.0,7
Y7-10,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7104.61,1833.73,2357.66,14847.43,3139.65,11707.78,2948.13,7114.8,0.0,154500.44,271.85,157132.45,154772.29,0.98498,1,191595.68,191595.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2047857.9,0.0,7
Y7-11,TOTAL,0.0,4166.67,37537.5,7507.5,1876.88,7104.61,1838.26,2363.47,14847.43,3157.57,11689.86,1999.36,2422.18,0.0,156922.62,271.85,157194.47,157194.47,1.0,0,193476.86,197220.7,0.0,3743.84,0.0,0.0,0.0,0.0,0.0,2040956.48,0.0,7
Y7-12,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7104.61,1842.79,2369.3,14847.43,3196.97,11650.46,2927.43,62.18,0.0,156984.79,271.85,157256.64,157256.64,1.0,0,195368.77,202400.69,0.0,7031.92,0.0,0.0,0.0,0.0,0.0,2030727.59,0.0,7
Y8-01,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7317.75,1847.33,2375.14,14847.43,3255.36,11592.07,2703.9,1341.16,0.0,158325.95,271.85,158597.8,158597.8,1.0,0,252931.92,258461.33,0.0,5529.41,0.0,0.0,0.0,0.0,0.0,2021942.82,0.0,7
Y8-02,TOTAL,0.0,4166.67,35035.0,7007.0,1751.75,7317.75,1851.89,2381.0,14847.43,3305.51,11541.92,-121.82,62.48,0.0,158388.44,271.85,158660.29,158660.29,1.0,0,259359.32,263341.68,0.0,3982.36,0.0,0.0,0.0,0.0,0.0,2014654.95,0.0,7
Y8-03,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7317.75,1856.46,2386.87,14847.43,3347.11,11500.32,2683.05,62.64,0.0,158451.07,271.85,158722.92,158722.92,1.0,0,264691.51,271478.59,0.0,6787.08,0.0,0.0,0.0,0.0,0.0,2004520.76,0.0,7
Y8-04,TOTAL,0.0,4166.67,37537.5,7507.5,1876.88,7317.75,1861.04,2392.76,14847.43,3404.96,11442.47,1734.15,62.79,0.0,158513.86,271.85,158785.71,158785.71,1.0,0,272106.22,277944.24,0.0,5838.02,0.0,0.0,0.0,0.0,0.0,1995277.78,0.0,7
Y8-05,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7317.75,1865.63,2398.66,14847.43,3457.72,11389.71,2662.09,62.95,0.0,158576.81,271.85,158848.66,158848.66,1.0,0,278868.87,285634.69,0.0,6765.81,0.0,0.0,0.0,0.0,0.0,1985054.25,0.0,7
Y8-06,TOTAL,0.0,4166.67,37537.5,7507.5,1876.88,7317.75,1870.23,2404.58,14847.43,3516.08,11331.35,1713.14,63.1,0.0,158639.91,271.85,158911.76,158911.76,1.0,0,286348.95,292165.65,0.0,5816.71,0.0,0.0,0.0,0.0,0.0,1975721.46,0.0,7
Y8-07,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7317.75,1874.84,2410.51,14847.43,3569.35,11278.08,2641.03,63.26,0.0,158703.17,271.85,158975.02,158975.02,1.0,0,293177.31,299921.75,0.0,6744.44,0.0,0.0,0.0,0.0,0.0,1965407.67,0.0,7
Y8-08,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7317.75,1879.46,2416.45,14847.43,3628.23,11219.2,2630.47,63.41,0.0,158766.58,271.85,159038.43,159038.43,1.0,0,300723.42,307457.14,0.0,6733.72,0.0,0.0,0.0,0.0,0.0,1955045.72,0.0,7
Y8-09,TOTAL,0.0,4166.67,37537.5,7507.5,1876.88,7317.75,1884.1,2422.41,14847.43,3687.38,11160.05,1681.43,63.57,0.0,158830.15,271.85,159102.0,159102.0,1.0,0,308304.77,314089.3,0.0,5784.53,0.0,0.0,0.0,0.0,0.0,1945573.81,0.0,7
Y8-10,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7317.75,1888.75,2428.39,14847.43,3741.45,11105.98,2609.25,63.73,0.0,158893.88,271.85,159165.73,159165.73,1.0,0,315234.92,321947.11,0.0,6712.19,0.0,0.0,0.0,0.0,0.0,1935120.18,0.0,7
Y8-11,TOTAL,0.0,4166.67,37537.5,7507.5,1876.88,7317.75,1893.4,2434.38,14847.43,3801.12,11046.31,1660.16,63.88,0.0,158957.76,271.85,159229.61,159229.61,1.0,0,322883.35,328646.3,0.0,5762.95,0.0,0.0,0.0,0.0,0.0,1925556.11,0.0,7
Y8-12,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7317.75,1898.07,2440.38,14847.43,3855.71,10991.72,2587.93,64.04,0.0,159021.8,271.85,159293.65,159293.65,1.0,0,329880.93,336571.48,0.0,6690.55,0.0,0.0,0.0,0.0,0.0,1915009.84,0.0,7
Y9-01,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7537.28,1902.76,2446.4,14847.43,3915.91,10931.51,2357.7,1381.39,0.0,160403.19,271.85,160675.04,160675.04,1.0,0,389434.67,394577.64,0.0,5142.97,0.0,0.0,0.0,0.0,0.0,1905950.96,0.0,7
Y9-02,TOTAL,0.0,4166.67,35035.0,7007.0,1751.75,7537.28,1907.45,2452.43,14847.43,3967.63,10879.8,-468.34,64.36,0.0,160467.55,271.85,160739.4,160739.4,1.0,0,396062.63,399696.6,0.0,3633.97,0.0,0.0,0.0,0.0,0.0,1898349.36,0.0,7
Y9-03,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7537.28,1912.15,2458.48,14847.43,4011.02,10836.41,2336.22,64.52,0.0,160532.07,271.85,160803.92,160803.92,1.0,0,401624.36,408062.73,0.0,6438.37,0.0,0.0,0.0,0.0,0.0,1887899.98,0.0,7
Y9-04,TOTAL,0.0,4166.67,37537.5,7507.5,1876.88,7537.28,1916.87,2464.54,14847.43,4070.67,10776.76,1387.0,64.67,0.0,160596.74,271.85,160868.59,160868.59,1.0,0,409269.68,414758.68,0.0,5488.99,0.0,0.0,0.0,0.0,0.0,1878340.32,0.0,7
Y9-05,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7537.28,1921.6,2470.62,14847.43,4125.24,10722.19,2314.63,64.83,0.0,160661.58,271.85,160933.43,160933.43,1.0,0,416264.03,422680.5,0.0,6416.47,0.0,0.0,0.0,0.0,0.0,1867798.62,0.0,7
Y9-06,TOTAL,0.0,4166.67,37537.5,7507.5,1876.88,7537.28,1926.33,2476.72,14847.43,4185.41,10662.02,1365.36,64.99,0.0,160726.57,271.85,160998.42,160998.42,1.0,0,423976.9,429443.94,0.0,5467.04,0.0,0.0,0.0,0.0,0.0,1858146.17,0.0,7
Y9-07,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7537.28,1931.09,2482.82,14847.43,4240.51,10606.92,2292.94,65.15,0.0,160791.73,271.85,161063.58,161063.58,1.0,0,431039.14,437433.59,0.0,6394.45,0.0,0.0,0.0,0.0,0.0,1847511.2,0.0,7
Y9-08,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7537.28,1935.85,2488.95,14847.43,4301.22,10546.21,2282.06,65.32,0.0,160857.04,271.85,161128.89,161128.89,1.0,0,438820.24,445203.65,0.0,6383.41,0.0,0.0,0.0,0.0,0.0,1836826.58,0.0,7
Y9-09,TOTAL,0.0,4166.67,37537.5,7507.5,1876.88,7537.28,1940.62,2495.09,14847.43,4362.21,10485.22,1332.71,65.48,0.0,160922.52,271.85,161194.37,161194.37,1.0,0,446637.68,452071.58,0.0,5433.9,0.0,0.0,0.0,0.0,0.0,1827030.47,0.0,7
Y9-10,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7537.28,1945.41,2501.24,14847.43,4418.13,10429.3,2260.2,65.64,0.0,160988.16,271.85,161260.0,161260.0,1.0,0,453805.03,460166.26,0.0,6361.23,0.0,0.0,0.0,0.0,0.0,1816251.11,0.0,7
Y9-11,TOTAL,0.0,4166.67,37537.5,7507.5,1876.88,7537.28,1950.21,2507.41,14847.43,4479.66,10367.77,1310.8,65.8,0.0,161053.96,271.85,161325.8,161325.8,1.0,0,461691.78,467103.45,0.0,5411.67,0.0,0.0,0.0,0.0,0.0,1806359.78,0.0,7
Y9-12,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7537.28,1955.02,2513.59,14847.43,4536.13,10311.3,2238.24,65.96,0.0,161119.92,271.85,161391.77,161391.77,1.0,0,468928.8,475267.75,0.0,6338.95,0.0,0.0,0.0,0.0,0.0,1795484.71,0.0,7
Y10-01,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7763.4,1959.84,2519.79,14847.43,4598.2,10249.23,2001.1,1422.84,0.0,162542.75,271.85,162814.6,162814.6,1.0,0,530278.24,535023.18,0.0,4744.93,0.0,0.0,0.0,0.0,0.0,1786141.57,0.0,7
Y10-02,TOTAL,0.0,4166.67,35035.0,7007.0,1751.75,7763.4,1964.67,2526.01,14847.43,4651.54,10195.89,-825.26,66.29,0.0,162609.04,271.85,162880.89,162880.89,1.0,0,537114.18,540389.3,0.0,3275.12,0.0,0.0,0.0,0.0,0.0,1778214.91,0.0,7
Y10-03,TOTAL,0.0,4166.67,38788.75,7757.75,1939.44,7763.4,1969.52,2532.24,14847.43,4696.79,10150.64,1978.98,66.45,0.0,162675.49,271.85,162947.34,162947.34,1.0,0,542913.74,548992.93,0.0,6079.2,0.0,0.0,0.0,0.0,0.0,1767438.92,0.0,7
Y10-04,TOTAL,0.0,4166.67,37537.5,7507.5,1876.88,7763.4,1974.37,2538.48,14847.43,4758.3,10089.13,1029.44,66.62,0.0,162742.11,271.85,163013.96,163013.96,1.0,0,550798.02,555927.51,0.0,5129.49,0.0,0.0,0.0,0.0,0.0,1757551.13,0.0,7
